root,x,0
daemon,x,1
bin,x,2
sys,x,3
sync,x,4
games,x,5
man,x,6
lp,x,7
mail,x,8
news,x,9
uucp,x,10
proxy,x,13
www-data,x,33
backup,x,34
list,x,38
irc,x,39
_apt,x,42
nobody,x,65534
systemd-network,x,998
dhcpcd,x,100
tss,x,101
systemd-coredump,x,991
systemd-timesync,x,990
messagebus,x,989
dnsmasq,x,999
avahi,x,102
speech-dispatcher,x,103
usbmux,x,104
cups-pk-helper,x,105
fwupd-refresh,x,988
sddm,x,106
saned,x,107
polkitd,x,987
rtkit,x,108
colord,x,109
cacos,x,1000
